hint_1|Bientôt, une grande famine fera suite à ces présages; et bientôt après cela, dans la même année, les ravages des paiens détruiront pitoyablement la maison de Dieu sur Lindisfarne ..." Chronique anglo-saxon
hint_2|O seigneur délivre nous, de la colère de ces nordiques
hint_3|Le lien se rompra, le loup s'en ira libre; J'en connais des secrets cachés; Et pourtant je présage la dévastation des pouvoirs, les dieux de la guerre.", Voluspa.
hint_4|Temps de haches, temps de glaives, boucliers fendus. Temps de tempêtes, temps de loups, avant que le monde s'effondre. Nul aura pitié envers son prochain.", Voluspa
hint_5|N'en massacre pas plus d'un dans le même groupe d'hommes, et ne romps jamais la paix que de vaillant   et véritables homme ont tissée entre eux.", Voluspa
hint_6|Le dos est une partie vulnérable, à moins qu'on ait un frère.", Saga de Gettir le fort.
hint_7|Le vent est  féroce ce soir / il agite l'écume de la mer / je ne crains guère les avances d'une mère calme / Par les farouches guerriers de Lothlend.", ( poème gaélique anonyme)
hint_8|Je me suis fais un nom de massacreur de guerriers.  Que le diable emporte mon âme si je ne souille pas mon épée tranchant encore une fois.", Saga de Kormak
hint_9|Je vais etre aussi glorieux que ce Tain", dit Cuchulain. \n" J'égorgerai leurs combattants. Je briserai leurs illustres hôtes. Je survivrai à cette razzia.", Tain Bo Cuailnge
; hint_10|'Thus spake my mother that for me should they buy a barque and beauteous oars to go forth with vikings. Stand in the stern, steer a dear vessel, hold course for a haven, hew down many foemen', Egil Skallagrimsson
hint_11|Dis, O prophète Fedelm, comment trouves tu notre hote ?", " Il est d'un rouge cramosi, je le vois baigner dans le sang!", Tain Bo Cuailnge
hint_12|Donc les jeunes construisent l'avenir, Judicieusement les bras ouvert dans la paix, préservés de la guerre; Et Alors les guerriers se font leurs noms, et la fortune se taille avec une glaive.", Beowulf
