dlga_start:blocked_agent|Diese Person scheint beschäftigt zu sein. Vielleicht sollte ich weiterziehen...
dlga_blocked_agent:close_window|Verzeiht. Es war nicht meine Absicht, Euch zu stören.
dlga_blocked_agent:close_window.1|[Geht einfach]
dlga_dog_talk_2:close_window|Bei Fuß!
dlga_dog_talk_2:close_window.1|Los, {s1}, los!
dlga_dog_talk_2:close_window.2|{s1}, stehenbleiben!
dlga_dog_talk_2:dog_talk_pretrain| Ich habe hier etwas für Dich ...
dlga_dog_talk_2:close_window.3|Ich nenne Dich...
dlga_dog_talk_2:close_window.4|Böser Hund! Verschwinde! Ich will Dich nicht mehr!
dlga_dog_talk_2:close_window.5|Fallen lassen!
dlga_start:dog_talk_recruit|   
dlga_dog_talk_recruit:dog_talk_1|Hier, eine Wurst für Dich!
dlga_dog_talk_recruit:close_window|Braver Hund!
dlga_dog_talk_recruit:close_window.1|Hinfort!
dlga_dog_talk_pretrain:dog_talk_train| Ich habe hier etwas für Dich ...
dlga_dog_talk_train:dog_talk_pretrain|Du schaust nicht gut aus. Hier habe ich {s7} für Dich!
dlga_dog_talk_train:dog_talk_pretrain.1|Hier! {s7}, das wird Dich stärker machen!
dlga_dog_talk_train:dog_talk_pretrain.2|Ich möchte, dass Du zäher wirst. Hier sind einige {s7}. Es ist gut für Dich!
dlga_dog_talk_train:dog_talk_pretrain.3|Du bist so ausgezehrt. Da hast du etwas {s7}!
dlga_dog_talk_train:dog_talk_pretrain.4|Du könntest ruhig schneller sein, mein Freund. Hier ist etwas {s7} für Dich!
dlga_dog_talk_train:dog_talk_pretrain.5|Hier ist {s7}. Das ist gut für deine Zähne!
dlga_dog_talk_train:dog_talk_1|Ich habe kein Essen mehr für dich.
dlga_dog_talk_train:dog_talk_1.1|Genug für heute.
dlga_start:close_window.1|Ihr solltet hinunter zu eurer Mutter gehen und ihr etwas nützliches für ihren Weg nach Walhalla zurücklassen.
dlga_start:close_window.2|Ich warte auf jemanden, der in Begleitung eines Mädchen unterwegs ist. Habt Ihr Sie gesehen?
dlga_start:close_window.3|Ah, ihr seid {playername}. Thonkrik hat gesagt, ihr würdet kommen. Kommt an Bord, meine Männer und ich werden euch zeigen, wie gut sie segelt.
dlga_start:port_chief_travel|Seid gegrüßt! Beabsichtigt Ihr in eine andere Stadt zu reisen?
dlga_start:close_window.4|Bitte wartet, bis jeder an Bord ist.
dlga_port_chief2:port_chief3|Was benötigt Ihr?
dlga_port_chief3:port_chief_fleet1|Ahoi. Ich kam, um mich Sven Stiernackens und Harald Haraldssons Flotte auf ihrer Reise nach Englaland anzuschließen.
dlga_port_chief3:port_chief_bodoletter1|Ein Mann namens Atli Eiríksson verließ diesen Hafen vor einiger Zeit. Wisst Ihr, wohin er wollte?
dlga_port_chief3:port_chief_pieles|Ich habe die Felle, die Ihr verlangt habt, Hogni gegeben. Jetzt seid Ihr an der Reihe. Wo ist Atli Eiríksson?
dlga_port_chief3:port_chief_catach|Ich war in Gleann Da Loch und habe das Buch 'The Cathach of Colum Cille.' an mich genommen. 
dlga_port_chief3:port_chief_catach32|Ich fürchte, Gleann Da Loch ist zu weit entfernt. Würdet ihr stattdessen etwas Geld annehmen?
dlga_port_chief3:port_chief_svenlair|Ihr wisst, wonach ich trachte. Wo ist das Versteck von Stiernacken Sven?
dlga_port_chief3:port_chief_buy_ship|Ich möchte ein Schiff erwerben.
dlga_port_chief_buy_ship:close_window|Folgt mir!
dlga_port_chief3:port_chief_info_main|Ich habe einige Fragen bezüglich der Schiff- und Seefahrt.
dlga_port_chief_info_main:port_chief_info_main_1|Was wollt Ihr wissen?
dlga_port_chief_info_main_1:port_chief_info_a_1|Warum gehen Menschen auf Seefahrt?
dlga_port_chief_info_main_1:port_chief_info_b_1|Wie finde ich den richtigen Kurs?
dlga_port_chief_info_main_1:port_chief_info_c_1|Was muss ich beachten, wenn ich ein Boot erwerben möchte?
dlga_port_chief_info_main_1:port_chief_info_d_1|Was macht ein Boot schnell?
dlga_port_chief_info_main_1:port_chief2|Das ist alles, was ich wissen wollte. Habt Dank!
dlga_port_chief_info_a_1:port_chief_info_main|Ihr könnt eine Menge Geld verdienen wenn Ihr Handel mit Waren oder Sklaven über das Meer betreibt. Andere verwenden es auch um Siedlungen zu Plündern. Schlussendlich wird Euch kein Wikinger als Anführer akzeptieren solange Ihr kein gutes Schiff besitzt. 
dlga_port_chief_info_b_1:port_chief_info_main|Betrachtet am Tage die Sonne und ruht Euch in der Nacht aus. Je besser Ihr es vermögt Euren Weg zu finden, um so schneller werdet Ihr Reisen.
dlga_port_chief_info_c_1:port_chief_info_c_2|Zunächst müsst ihr wissen, welche Art von Schiff ihr wollt. Wenn Handel eure Absicht ist, ist ein Knorr wohl eine gute Wahl. Viel Stauraum, aber nicht sehr schnell. Das Snekkja, das Skei und das Busse sind schnelle Kriegsschiffe und in der Lage viele Truppen zu befördern. Das Karvi ist etwas von allem. Wenn ihr nur wenige Männer habt, ist ein kleines Schiff wie das Byrding wahrscheinlich die beste Wahl.
dlga_port_chief_info_c_2:port_chief_info_main|Als zweites müsst ihr eine Holzsorte für euer Schiff wählen. Schiffe aus Eichenholz sind am zuverlässig und langlebig, aber sehr teuer. Buchenholz ist billiger, jedoch nicht so haltbar.
dlga_port_chief_info_d_1:port_chief_info_main|Der Wind -- Richte Eure Segel gut aus um ihn am besten zu nutzen. Wenn kein Wind weht müssen Eure Mannen rudern. Je mehr Ruderer, desto schneller ist das Schiff.  Solltet Ihr mehrere Schiffe in Eurer Flotte haben, so werdet Ihr nur so schnell sein wie Euer langsamstes Schiff. Ein fähiger Navigator ist in der Lager Eure Flotte schneller reisen zu lassen.
dlga_port_chief3:port_chief_travel|Ich möchte zu einem anderen Hafen reisen.
dlga_port_chief_travel:close_window|Es tut mir Leid. Hier sind derzeit keine Schiffe, die eine ganze Armee und ihren Anführer aufnehmen können.
