hint_1|Вскоре за этими предзнаменованиями последовал великий голод; и вскоре после этого, в том же году, опустошение язычников с треском разрушило Божью церковь в Линдисфарне". Англосаксонская хроника
hint_2|От ярости северян, о Господь, избавь нас".
hint_3|Узы будут разорваны, Волк вырвется на свободу; Я знаю скрытые вещи; и все же я вижу великую Гибель Сил, богов войны"., Волуспа.
hint_4|Эпоха топора, эпоха меча, щиты расколоты. Век ветра, век волка, прежде чем мир пойдет наперекосяк. Ни один человек не проявит милосердия к другому", Волуспа.
hint_5|Никогда не убивай больше одного человека из одного племени и никогда не нарушай мир, который хорошие люди и истина заключают между тобой и другими", Сага о Сожженном Ньяле
hint_6|Спина уязвима, если у тебя нет брата", Сага о Греттире Сильном.
hint_7|Сегодня ночью свирепый ветер / он треплет белую гриву моря / Я не боюсь течения тихого моря / свирепых воинов Лотленда". (Анонимное годелическое стихотворение).
hint_8|- Я прославился тем, что убивал воинов. Пусть дьяволы заберут мою душу, если я еще раз не запятнаю свой острый меч!", Сага Кормака
hint_9|Я сам буду еще более славен за это", - сказал Кухулин. ‘Я убью их воинов. Я разобью их великое воинство. Я выживу в набеге на скот"., Tain Bo Cuailnge
hint_10|Так сказала моя мать, что для меня они должны купить барку и красивые весла, чтобы отправиться в путь с викингами. Стой на корме, управляй дорогим судном, держи курс на гавань, уничтожь многих врагов", Эгиль Скаллагримссон
hint_11|’Скажи, о Федельм, дева-прорицательница, Как ты видишь наше воинство?"Они багрово-красные от крови; я вижу их купающимися в красном!", Tain Bo Cuailnge
hint_12|Так молодые люди строят будущее, мудро распростертые в мире, защищенные на войне; так воины зарабатывают свою славу, а богатство формируется мечом"., Беовульф
