dlga_start:blocked_agent|Essa pessoa parece ocupada. Talvez eu deva seguir em frente...
dlga_blocked_agent:close_window|Desculpe. Não quis incomodar.
dlga_blocked_agent:close_window.1|[Deixe]
dlga_dog_talk_2:close_window|Ajoelhe!
dlga_dog_talk_2:close_window.1|Vai, {s1}, vai!
dlga_dog_talk_2:close_window.2|{s1}, fique!
dlga_dog_talk_2:dog_talk_pretrain|Aqui, tenho algo para você...
dlga_dog_talk_2:close_window.3|Vou chamá-lo...
dlga_dog_talk_2:close_window.4|Cachorro mau! Vá embora! Não te quero mais!
dlga_dog_talk_2:close_window.5|Larga isso!
dlga_start:dog_talk_recruit|   
dlga_dog_talk_recruit:dog_talk_1|Aqui, toma uma salsicha!
dlga_dog_talk_recruit:close_window|Bom cachorro!
dlga_dog_talk_recruit:close_window.1|Embora!
dlga_dog_talk_pretrain:dog_talk_train|Aqui, tenho algo para você...
dlga_dog_talk_train:dog_talk_pretrain|Você não parece saudável. Aqui, temos um s7 {}!
dlga_dog_talk_train:dog_talk_pretrain.1|Aqui, este s7 {} fará você mais forte!
dlga_dog_talk_train:dog_talk_pretrain.2|Quero que seja mais resistente. Eis alguns s7 {}. É bom para você!
dlga_dog_talk_train:dog_talk_pretrain.3|Você é muito magra. Aqui, tem alguns s7 {}!
dlga_dog_talk_train:dog_talk_pretrain.4|Você pode ser mais rápido, meu amigo. Eis alguns {s7} para você!
dlga_dog_talk_train:dog_talk_pretrain.5|Eis alguns {s7} para seus dentes!
dlga_dog_talk_train:dog_talk_1|Eu não tenho mais comida para você.
dlga_dog_talk_train:dog_talk_1.1|Isso é tudo por hoje.
dlga_start:close_window.1|Você deve ir até sua mãe e deixar algo que ela possa usar em seu caminho a Walhalla.
dlga_start:close_window.2|Eu estou esperando por alguém que está vindo com uma garota. Os viu ?
dlga_start:close_window.3|Ah, você é {playername}. Thonkrik me disse que você viria aqui. Entre no navio. Meus homens e eu mostraremos como ela veleja tranquila.
dlga_start:port_chief_travel|Heill! Você está procurando viajar para outra cidade?
dlga_start:close_window.4|Aguarde por todos para ir a bordo do navio.
dlga_port_chief2:port_chief3|O que precisa?
dlga_port_chief3:port_chief_fleet1|Saudações. Vim me juntar à frota de Sven Pescoço de Touro e Harald Haraldsson que viajará para Inglaterra.
dlga_port_chief3:port_chief_bodoletter1|Um homem chamado Atli Eiriksson deixou este porto há algum tempo. Você sabe onde ele estava indo?
dlga_port_chief3:port_chief_pieles|Dei as peles para Hogni, agora é sua vez. Onde está o Atli Eiriksson?
dlga_port_chief3:port_chief_catach|Eu estive em Gleann Da Loch e peguei 'O Cathach de Colum Cille.'
dlga_port_chief3:port_chief_catach32|Infelizmente, Gleann Da Loch é longe demais. Você aceitaria dinheiro em vez disso?
dlga_port_chief3:port_chief_svenlair|Você sabe o que eu quero. Onde é o esconderijo de Sven Pescoço de Touro?
dlga_port_chief3:port_chief_buy_ship|Eu quero comprar um navio.
dlga_port_chief_buy_ship:close_window|Siga-me!
dlga_port_chief3:port_chief_info_main|Eu tenho algumas perguntas sobre navios e viagens navais.
dlga_port_chief_info_main:port_chief_info_main_1|O que você quer saber?
dlga_port_chief_info_main_1:port_chief_info_a_1|Por que as pessoas vão para o mar?
dlga_port_chief_info_main_1:port_chief_info_b_1|Como encontro meu caminho no mar?
dlga_port_chief_info_main_1:port_chief_info_c_1|O que preciso de saber se eu quiser comprar um navio?
dlga_port_chief_info_main_1:port_chief_info_d_1|O que faz um navio ser rápido?
dlga_port_chief_info_main_1:port_chief2|É tudo o que eu queria saber. Obrigado!
dlga_port_chief_info_a_1:port_chief_info_main|Você pode ganhar muito dinheiro se você trocar bens ou escravos do outro lado do mar. Outros usam para atacar assentamentos. Finalmente, nenhum Vikingr o respeitará como líder se você não tiver um bom navio.
dlga_port_chief_info_b_1:port_chief_info_main|Olhe para o sol ao dia. Descansar durante a noite. Quanto melhor você for em achar seu caminho, mais rápido viajará.
dlga_port_chief_info_c_1:port_chief_info_c_2|Primeiro, você precisa saber que tipo de navio você quer. Se você quer fazer comércio, então, um Knorr pode ser uma boa escolha. Eles têm muito espaço para a carga, mas eles não são muito rápidos. O Snekkja, o Skei o Busse são rápidos navios de guerra e são capazes de transportar muitas tropas. O Karvi é algo em meio termo. Se você tiver apenas alguns homens, então um navio pequeno como um Byrding,  talvez sirva melhor para você.
dlga_port_chief_info_c_2:port_chief_info_main|O segundo fator importante é o tipo de madeira da qual o navio é feito. Navios feitos de madeira de carvalho são os melhores navios, mas também são caros. Faia é mais barata, mas ela apodrece mais rápido.
dlga_port_chief_info_d_1:port_chief_info_main|O vento... se você colocar as velas numa posição para pegá-lo melhor. Se não houver vento nenhum, então sua tripulação terá que remar. Mais remadores fará o navio mais rápido. Se você tiver mais de um navio em sua frota, então sua frota será apenas tão rápida quanto o seu navio mais lento. Um navegador hábil também pode fazer sua frota mais rápido.
dlga_port_chief3:port_chief_travel|Quero viajar para outro porto.
dlga_port_chief_travel:close_window|Desculpe. No momento não há navios de passageiros neste porto que possa transportar um marechal e todo seu exército.
dlga_port_chief_travel:close_window.1|Desculpe. No momento não há navios de passageiros neste porto que possa transportar sua tropa e o comerciante com toda sua carga.
dlga_port_chief_travel:port_chief_travel_2|A partir daqui, poderá viajar para portos em Friese, Danmark, Northvegr e Englaland. Onde você quer ir?
dlga_port_chief_travel:port_chief_travel_2.1|A partir daqui, poderá viajar para portos em Englaland e Eriuland. Onde você quer ir?
dlga_port_chief_travel:close_window.2|Desculpe. No momento não há navios de passageiros neste porto.
dlga_port_chief_travel_2:close_window|Eu mudei de idéia.
dlga_port_chief_travel_3:port_chief_travel_4|Você quer viajar para {s1}? {s2}
dlga_port_chief_travel_4:port_chief_travel_5|Vamos começar!
dlga_port_chief_travel_5:close_window|Siga-me!
dlga_port_chief3:port_chief_pick_up_ship1|Meu navio já está pronto?
dlga_port_chief_pick_up_ship1:port_chief2|Meus e eu ainda estão trabalhando nisso. Volte em {reg1} dias.
dlga_port_chief_pick_up_ship1:port_chief_pick_up_ship2|O navio está pronto! Quer que nós o lancemos?
dlga_port_chief_pick_up_ship2:port_chief_pick_up_ship3|Sim!
dlga_port_chief_pick_up_ship2:port_chief2|Não, ainda não.
dlga_port_chief_pick_up_ship3:port_chief2|Desculpe, sua habilidade de Rei dos Mares não é alta o suficiente para adicionar um navio a sua frota atual neste porto.
dlga_port_chief_pick_up_ship3:close_window|Bem, dê uma olhada e dê  um nome.
dlga_port_chief_pick_up_ship3:port_chief2.1|Não há espaço suficiente no porto para outro navio.
dlga_port_chief3:port_chief_build_ship_main|Quero que você me construa um navio.
dlga_port_chief_build_ship_main:port_chief_build_ship_main_1|Que tipo de navio você quer ter?
dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2|Só preciso de um pequeno. BYRDING.
dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2.1|Eu quero um KNORR para fazer negócios.
dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2.2|Um bom ataque, SNEKKJA!
dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2.3|Estou interessado em um navio de guerra de duplo tamanho. Um SKEID, por favor.
dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2.4|Eu tenho muitos guerreiros. Pode construir um BUSSE para mim?
dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2.5|Preciso de um bom, arredondado navio. Eu quero um KARVI.
dlga_port_chief_build_ship_main_1:port_chief2|Eu mudei de idéia.
dlga_port_chief_build_ship_main_2:port_chief_build_ship_main|Desculpe, não estou qualificado o suficiente. Só os nórdicos são capazes de construir um s11 {}.
dlga_port_chief_build_ship_main_2:port_chief_info_main_3|Que tipo de madeira você gostaria de usar?
