qst_deliver_message|Entregad el mensaje a {s13}
qst_deliver_message_text|{s9} le pidió mandar un mensaje a {s13}. {s13} estaba en {s4} cuando usted tomó esta misión.
qst_deliver_message_to_enemy_lord|Entrega el mensaje a {s13}
qst_deliver_message_to_enemy_lord_text|{s9} le pidió mandar un mensaje a {s13} de {s15}. {s13} estaba en {s4} cuando tomó esta misión.
qst_raise_troops|Reunid {reg1} {s14}
qst_raise_troops_text|{s9} os ha pedido que le llevéis {reg1} {s14}.
qst_escort_lady|Escoltad a {s13} a {s14}
qst_deal_with_bandits_at_lords_village|Salvad a la aldea de {s15} de los Bandidos Merodeadores
qst_deal_with_bandits_at_lords_village_text|{s13} le pidió tratar con los bandidos que se refugiaron en su aldea de {s15} e informarle después.
qst_collect_taxes|Recaudad los impuestos de {s3}
qst_collect_taxes_text|{s9} os ha pedido que recaudéis los impuestos de {s3}. Os ha ofrecido un quinto de todo el dinero recaudado.
qst_hunt_down_fugitive|Dad caza a {s4}
qst_hunt_down_fugitive_text|{s9} le pidió dar caza al fugitivo llamado {s4}. Se cree que está actualmente en {s3}.
qst_kill_local_merchant|Asesinad a un mercader local en {s3}
qst_kill_local_merchant_text|{s9} os ha pedido que asesinéis a un mercader local de {s3}.
qst_bring_back_runaway_serfs|Capturad a los siervos fugitivos
qst_bring_back_runaway_serfs_text|{s9} le pidió traer de vuelta a los tres grupos de descontrolados siervos a {s2}. Él dijo que los tres grupos deben de estar huyendo en dirección a {s3}.
qst_follow_spy|Seguid al espía hasta el lugar de encuentro
qst_follow_spy_text|{s11} le pidió seguir al espía que saldrá de {s12}. Debe de procurar no ser visto por el espía durante su viaje, o podría sospechar y dar la vuelta. Cuando el espía se encuentre con su cómplice, debe emboscarles y capturarles para llevarles de vuelta a {s11}.
qst_capture_enemy_hero|Capturad a un Señor de {s13}
qst_lend_companion|Prestad a vuestro compañero {s3} a {s9}
qst_lend_companion_text|{s9} os ha pedido que le prestéis a vuestro compañero, {s3}, durante una semana.
