dlga_start:blocked_agent|Questa persona sembra occupata. Forse dovrei andarmene...
; dlga_blocked_agent:close_window|I'm sorry. I didn't mean to disturb you.
; dlga_blocked_agent:close_window.1|[Just Leave]
dlga_start:dog_talk_2|{s1}!
dlga_dog_talk_1:dog_talk_2|{s1}!
; dlga_dog_talk_2:close_window|Heel!
dlga_dog_talk_2:close_window.1|Vai, {s1}, vai!
dlga_dog_talk_2:close_window.2|{s1}, resta!
dlga_dog_talk_2:dog_talk_pretrain|Ecco, ho qualcosa per te...
dlga_dog_talk_2:close_window.3|Ti chiamerò io...
dlga_dog_talk_2:close_window.4|Cane cattivo! Vattene! Non ti voglio più!
dlga_dog_talk_2:close_window.5|Buttala!
dlga_start:dog_talk_recruit|  
dlga_dog_talk_recruit:dog_talk_1|Ecco, tieni una salsiccia!
dlga_dog_talk_recruit:close_window|Bravo cane!
dlga_dog_talk_recruit:close_window.1|Via!
dlga_dog_talk_pretrain:dog_talk_train|Qui, ho qualcosa per te ...
dlga_dog_talk_train:dog_talk_pretrain|Non sembri sano. Qui, hanno un {s7}!
dlga_dog_talk_train:dog_talk_pretrain.1|Ecco, questo {s7} ti renderà più forte!
dlga_dog_talk_train:dog_talk_pretrain.2|Voglio che tu sia più forte. Ecco alcuni {s7}. Và bene!
dlga_dog_talk_train:dog_talk_pretrain.3|Sei troppo magro. Qui, hanno dei {s7}!
dlga_dog_talk_train:dog_talk_pretrain.4|Puoi essere più veloce, amico mio. Ecco alcuni {s7} per te!
dlga_dog_talk_train:dog_talk_pretrain.5|Ecco dei {s7} per i vostri denti!
dlga_dog_talk_train:dog_talk_1|Non ho più cibo per voi.
dlga_dog_talk_train:dog_talk_1.1|Per oggi questo è tutto.
dlga_start:close_window.1|Dovresti andare giù da tua madre e lasciarle qualcosa che lei possa usare sulla sua strada verso il Walhalla.
dlga_start:close_window.2|Sto aspettando qualcuno che è venuto con una ragazza. Li hai visti?
dlga_start:close_window.3|Ah, sei {playername}. Thonkrik mi ha detto che saresti venuto qui. Sali sulla nave. I miei uomini ti mostreranno come è facile navigare.
dlga_start:port_chief_travel|Heill! Stai cercando di andare in un'altra città?
dlga_start:close_window.4|Si prega di aspettare tutti a bordo della nave.
dlga_start:port_chief2|{s1}
dlga_port_chief2:port_chief3|Che cosa avete bisogno?
dlga_port_chief3:port_chief_fleet1|Salve. Sono venuto per far parte della flotta di Sven Bull Neck e Harald Haraldsson che andrà in Inghilterra
dlga_port_chief3:port_chief_bodoletter1|Un uomo chiamato Atli Eiriksson ha lasciato questo porto un pò di tempo fa. Sa dove stava andando?
dlga_port_chief3:port_chief_pieles|Ho dato le pelli a Hogni, ora tocca a te. Dove si trova Atli Eiriksson?
dlga_port_chief3:port_chief_catach|Ero a Gleann Da Loch e ho portato 'The Cathach di Colum Cille.'
dlga_port_chief3:port_chief_catach32|Purtroppo, Gleann Da Loch è troppo lontano. Volete del denaro in cambio?
dlga_port_chief3:port_chief_svenlair|Sai quello che voglio. Dove si trova il nascondiglio di Sven Bull Neck?
dlga_port_chief3:port_chief_buy_ship|Voglio comprare una nave.
dlga_port_chief_buy_ship:close_window|Seguimi!
dlga_port_chief3:port_chief_info_main|Ho alcune domande su navi e viaggi in mare.
dlga_port_chief_info_main:port_chief_info_main_1|Cosa volete sapere?
dlga_port_chief_info_main_1:port_chief_info_a_1|Perché la gente va al mare?
dlga_port_chief_info_main_1:port_chief_info_b_1|Come mi oriento in mare?
dlga_port_chief_info_main_1:port_chief_info_c_1|Che cosa serve per comprare una nave?
dlga_port_chief_info_main_1:port_chief_info_d_1|Cosa rende una nave veloce?
dlga_port_chief_info_main_1:port_chief2|Questo è quello che volevo sapere. Grazie!
dlga_port_chief_info_a_1:port_chief_info_main|Puoi guadagnare un sacco di soldi vendendo merci o schiavi attraverso il mare. Altri lo fanno per razziare gli insediamenti. Inoltre, nessun Viking ti rispeterà come un leader se non hai una buona nave.
dlga_port_chief_info_b_1:port_chief_info_main|Guarda il sole al giorno. Riposa durante la notte. Più bravo sei a trovare la strada, piu velocemente viaggi.
dlga_port_chief_info_c_1:port_chief_info_c_2|In primo luogo, è necessario sapere che tipo di nave ti serve. Se vuoi commerciare, una Knorr può essere una buona scelta. Hanno molto spazio per il carico, ma non sono molto veloci. Le Snekkja, le Skei e le Busse sono navi da guerra veloci e sono in grado di trasportare molte truppe. La Karvi è una via di mezzo. Se avete solo pochi uomini, va bene una piccola nave come la Byrding che forse è più utile.
dlga_port_chief_info_c_2:port_chief_info_main|Il secondo fattore importante è di che tipo di legno è fatta la nave. Navi in legno di quercia sono le navi migliori, ma sono anche costose. Il faggio è più conveniente, ma si rovina più velocemente.
dlga_port_chief_info_d_1:port_chief_info_main|Il vento -- se avete delle vele in grado di prenderlo meglio. Se non c'è vento, allora il tuo equipaggio deve remare. Più Vogatori renderà la nave più veloce. Se avete più di una nave nella flotta, la flotta viaggerà come la tua nave più lenta. Anche un navigatore esperto può rendere la tua flotta più veloce.
dlga_port_chief3:port_chief_travel|Voglio viaggiare verso un'altro porto.
dlga_port_chief_travel:close_window|Mi dispiace. Attualmente non ci sono navi passeggeri in questo porto che possano trasportare un Comandante e il suo esercito.
dlga_port_chief_travel:close_window.1|Mi dispiace. Non ci sono attualmente navi passeggeri in questo porto che possano trasportare il tuo gruppo e i commercianti con tutto il loro carico.
dlga_port_chief_travel:port_chief_travel_2|Da qui, si può viaggiare verso i porti di Friese, Danimarca, Northvegr e Inghilterra. Dove volete andare?
dlga_port_chief_travel:port_chief_travel_2.1|Da qui, si può viaggiare verso il porto di Inghilterra e di Eriuland. Dove volete andare?
dlga_port_chief_travel:close_window.2|Mi dispiace. Non ci sono attualmente navi passeggeri in questo porto.
dlga_port_chief_travel_2:port_chief_travel_3|{s1}
dlga_port_chief_travel_2:close_window|Ho cambiato idea.
dlga_port_chief_travel_3:port_chief_travel_4|Verso dove vuoi viaggiare a {s1}? {s2}
dlga_port_chief_travel_4:port_chief_travel_5|Iniziamo!
dlga_port_chief_travel_4:port_chief2|{s1}
dlga_port_chief_travel_4:close_window|{s1}
dlga_port_chief_travel_5:close_window|Seguimi!
dlga_port_chief3:port_chief_pick_up_ship1|La mia nave è pronta?
dlga_port_chief_pick_up_ship1:port_chief2|Io e miei uomini ci stiamo ancora lavorando su. Torna tra {reg1} giorni.
dlga_port_chief_pick_up_ship1:port_chief_pick_up_ship2|La nave è pronta! Vuoi che la attracchiamo?
dlga_port_chief_pick_up_ship2:port_chief_pick_up_ship3|Sì!
dlga_port_chief_pick_up_ship2:port_chief2|No, non ancora.
dlga_port_chief_pick_up_ship3:port_chief2|Siamo spiacenti, la tua abilità di re del mare non è sufficientemente alta per aggiungere un'ulteriore nave alla tua flotta in questo porto.
dlga_port_chief_pick_up_ship3:close_window|Beh, Guardatela e dategli un nome.
dlga_port_chief_pick_up_ship3:port_chief2.1|Non c'è abbastanza spazio nel porto per un'altra nave.
dlga_port_chief3:port_chief_build_ship_main|Voglio che mi costruisci una nave.
dlga_port_chief_build_ship_main:port_chief_build_ship_main_1|Che tipo di nave vorresti avere?
dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2|Mi serve una Byrding.
dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2.1|Voglio una Knorr per commerciare.
dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2.2|Una  con un buon attacco, una Snekkja!
dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2.3|Sono interessato ad una nave da guerra di grandi dimensioni. Una Skeid, per favore.
dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2.4|Ho molti guerrieri. Puoi costruire un Busse per me?
dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2.5|Ho bisogno di una buona nave, versatile. Voglio una Karvi.
dlga_port_chief_build_ship_main_1:port_chief2|Ho cambiato idea.
dlga_port_chief_build_ship_main_2:port_chief_build_ship_main|Mi dispiace, non sono abbastanza esperto. Solo i Viking sono in grado di costruire una  {s11}.
dlga_port_chief_build_ship_main_2:port_chief_info_main_3|Che tipo di legno vuoi usare?
dlga_port_chief_info_main_3:port_chief_build_ship_main_4|Legno di quercia. Voglio la qualità.
